name,ra,dec,time,obsid,exposure,processing_status,processing_date,public_date,obs_type
MAXI_J1820+070,18 20 22.56,+07 11 21.3,2018-09-09 1:16:11,1200120255,0,VALIDATED,2018-09-14 3:10:57,2018-09-23,DDT_TOO
MAXI_J1820+070,18 20 22.30,+07 11 06.4,2018-09-11 13:12:51,1200120256,0,VALIDATED,2018-09-15 17:07:03,2018-09-25,DDT_TOO
MAXI_J1820+070,18 20 23.06,+07 11 06.0,2018-09-12 17:12:21,1200120257,0,VALIDATED,2018-09-18 14:30:19,2018-09-26,DDT_TOO
MAXI_J1820+070,18 20 22.27,+07 11 07.5,2018-09-15 8:20:02,1200120258,0,VALIDATED,2018-09-19 17:49:03,2018-09-29,DDT_TOO
MAXI_J1820+070,18 20 22.08,+07 11 06.6,2018-09-16 1:27:20,1200120259,0,VALIDATED,2018-09-20 15:04:32,2018-09-30,DDT_TOO
MAXI_J1820+070,18 20 22.56,+07 10 59.4,2018-09-17 0:32:40,1200120260,0,VALIDATED,2018-09-21 14:20:55,2018-10-01,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 05.8,2018-09-18 2:47:40,1200120261,0,VALIDATED,2018-09-24 0:27:07,2018-10-02,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 05.9,2018-09-19 14:41:40,1200120262,0,VALIDATED,2018-10-14 15:33:58,2018-10-03,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 07.9,2018-09-24 14:43:40,1200120263,0,VALIDATED,2018-10-21 17:00:21,2018-10-08,DDT_TOO
MAXI_J1820+070,18 20 21.79,+07 11 09.3,2018-09-25 4:39:42,1200120264,336,VALIDATED,2018-10-21 18:12:43,2018-10-09,DDT_TOO
